City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
293,Surt,LY,2019-12-29 05:50:31,31.21,16.59,54.19,67,73,22.01
294,Palm Coast,US,2019-12-29 05:50:32,29.55,-81.22,72.0,100,75,5.82
295,Plettenberg Bay,ZA,2019-12-29 05:50:32,-34.05,23.37,65.62,72,41,2.75
296,Cabra,ES,2019-12-29 05:50:32,37.47,-4.43,44.01,100,0,1.12
297,Inta,RU,2019-12-29 05:50:32,66.04,60.13,12.6,80,100,26.91
298,Sohag,EG,2019-12-29 05:50:32,26.55,31.7,52.7,44,0,3.38
299,Ittiri,IT,2019-12-29 05:50:33,40.59,8.57,41.0,80,27,4.7
300,Namalenga,TZ,2019-12-29 05:50:33,-10.95,39.1,77.07,89,100,0.81
301,Balkanabat,TM,2019-12-29 05:50:33,39.51,54.36,47.07,82,100,7.34
302,Port Hawkesbury,CA,2019-12-29 05:50:03,45.62,-61.36,30.99,86,90,11.41
